1971
f13: l1 = 2.01; l2 = 2.36
f14: l1 = 2.21; l2 = 2.57

1993
f1: l1 = 2.78; l2 = 4.25
f2: l1 = 3.04; l2 = 4.11
f3: l1 = 2.48; l2 = 3.20
f4: l1 = 2.32; l2 = 2.97
f5: l1 = 1.93; l2 = 2.57
f6: l1 = 3.11; l2 = 3.79
f7: l1 = 2.71; l2 = 5.08
f8: l1 = 2.45; l2 = 3.15
f9: l1 = 2.46; l2 = 3.15
f10: l1 = 2.10; l2 = 2.85
f11: l1 = 2.31; l2 = 3.45
f12: l1 = 2.01; l2 = 2.88
f13: l1 = 2.21; l2 = 3.14
f14: l1 = 2.28; l2 = 2.99

1994
f1: l1 = 2.47; l2 = 3.30
f2: l1 = 2.10; l2 = 2.67
f3: l1 = 2.65; l2 = 3.61
f4: l1 = 2.22; l2 = 2.90
f5: l1 = 2.68; l2 = 3.35
f6: l1 = 2.30; l2 = 2.98
f7: l1 = 2.43; l2 = 3.26
f8: l1 = 2.91; l2 = 4.28
f9: l1 = 3.24; l2 = 4.47
f10: l1 = 2.90; l2 = 4.21
f11: l1 = 1.94; l2 = 2.48
f12: l1 = 2.19; l2 = 2.63
f13: l1 = 1.98; l2 = 2.76
f14: l1 = 2.18; l2 = 2.79

1995
f1: l1 = 3.02; l2 = 3.89
f2: l1 = 2.45; l2 = 3.37
f3: l1 = 2.19; l2 = 2.85
f4: l1 = 1.98; l2 = 2.58
f5: l1 = 1.81; l2 = 2.49
f6: l1 = 2.32; l2 = 3.04
f7: l1 = 2.34; l2 = 3.18
f8: l1 = 1.95; l2 = 2.45
f9: l1 = 1.78; l2 = 2.43
f10: l1 = 2.12; l2 = 2.67
f11: l1 = 1.42; l2 = 1.87
f12: l1 = 1.50; l2 = 1.95
f13: l1 = 1.52; l2 = 2.02
f14: l1 = 2.04; l2 = 2.57

1996
f1: l1 = 2.18; l2 = 2.79
f2: l1 = 2.42; l2 = 3.01
f3: l1 = 2.68; l2 = 3.37
f4: l1 = 2.03; l2 = 2.56
f5: l1 = 2.73; l2 = 3.52
f6: l1 = 2.81; l2 = 3.68
f7: l1 = 2.98; l2 = 3.95
f8: l1 = 2.80; l2 = 3.67
f9: l1 = 3.01; l2 = 3.92
f10: l1 = 3.19; l2 = 4.36
f11: l1 = 3.25; l2 = 4.03
f12: l1 = 4.10; l2 = 5.31
f13: l1 = 3.26; l2 = 4.08
f14: l1 = 2.22; l2 = 3.11

1997
f1: l1 = 1.95; l2 = 2.40
f2: l1 = 1.87; l2 = 2.32
f3: l1 = 2.03; l2 = 2.58
f4: l1 = 2.01; l2 = 2.55
f5: l1 = 2.41; l2 = 2.96
f6: l1 = 1.95; l2 = 2.58
f7: l1 = 2.30; l2 = 3.11
f8: l1 = 2.53; l2 = 3.13
f9: l1 = 2.74; l2 = 3.45
f10: l1 = 2.86; l2 = 3.58
f11: l1 = 2.52; l2 = 2.93
f12: l1 = 1.79; l2 = 2.46
f13: l1 = 2.23; l2 = 2.95
f14: l1 = 2.62; l2 = 3.44

1998
f1: l1 = 2.11; l2 = 2.58
f2: l1 = 2.00; l2 = 2.76
f3: l1 = 2.65; l2 = 3.33
f4: l1 = 2.19; l2 = 2.61
f5: l1 = 2.79; l2 = 3.74
f6: l1 = 2.51; l2 = 3.41
f7: l1 = 2.33; l2 = 2.89
f8: l1 = 2.29; l2 = 3.11
f9: l1 = 1.92; l2 = 2.61
f10: l1 = 2.86; l2 = 4.07
f11: l1 = 1.80; l2 = 2.20
f12: l1 = 1.82; l2 = 2.16
f13: l1 = 1.52; l2 = 1.95
f14: l1 = 1.42; l2 = 1.82

1999
f1: l1 = 2.56; l2 = 3.15
f2: l1 = 2.36; l2 = 3.03
f3: l1 = 2.04; l2 = 2.62
f4: l1 = 1.84; l2 = 2.19
f5: l1 = 2.80; l2 = 3.43
f6: l1 = 2.09; l2 = 2.65
f7: l1 = 2.19; l2 = 2.59
f8: l1 = 2.11; l2 = 2.78
f9: l1 = 2.00; l2 = 2.64
f10: l1 = 2.49; l2 = 3.20
f11: l1 = 2.76; l2 = 3.42
