1971
f13: l1 = 1.87; l2 = 2.49
f14: l1 = 2.29; l2 = 3.01

2001
f1: l1 = 1.70; l2 = 2.25
f2: l1 = 1.83; l2 = 2.46
f3: l1 = 2.15; l2 = 2.82
f4: l1 = 2.56; l2 = 3.36
f5: l1 = 1.99; l2 = 2.36
f6: l1 = 1.81; l2 = 2.28
f7: l1 = 2.27; l2 = 3.08
f8: l1 = 2.19; l2 = 2.80
f9: l1 = 2.12; l2 = 3.02
f10: l1 = 2.19; l2 = 2.80
f11: l1 = 1.72; l2 = 2.68
f12: l1 = 2.42; l2 = 3.38
f13: l1 = 1.59; l2 = 2.34
f14: l1 = 2.85; l2 = 4.21

2002
f1: l1 = 2.28; l2 = 3.30
f2: l1 = 2.52; l2 = 3.41
f3: l1 = 2.35; l2 = 3.17
f4: l1 = 2.35; l2 = 3.17
f5: l1 = 2.13; l2 = 3.37
f6: l1 = 3.22; l2 = 4.01
f7: l1 = 2.58; l2 = 3.36
f8: l1 = 2.91; l2 = 4.41
f9: l1 = 2.57; l2 = 3.70
f10: l1 = 2.85; l2 = 4.08
f11: l1 = 2.52; l2 = 3.59
f12: l1 = 2.22; l2 = 3.11
f13: l1 = 2.50; l2 = 3.61
f14: l1 = 2.90; l2 = 3.86

2003
f1: l1 = 1.64; l2 = 1.95
f2: l1 = 2.43; l2 = 2.82
f3: l1 = 2.65; l2 = 3.22
f4: l1 = 2.58; l2 = 3.21
f5: l1 = 3.16; l2 = 4.13
f6: l1 = 2.60; l2 = 3.53
f7: l1 = 2.53; l2 = 3.50
f8: l1 = 2.34; l2 = 2.91
f9: l1 = 2.05; l2 = 2.62
f10: l1 = 2.21; l2 = 2.68
f11: l1 = 2.11; l2 = 2.67
f12: l1 = 2.02; l2 = 2.68
f13: l1 = 2.10; l2 = 2.62
f14: l1 = 2.00; l2 = 2.71

2004
f1: l1 = 1.72; l2 = 2.13
f2: l1 = 1.71; l2 = 2.23
f3: l1 = 1.96; l2 = 2.54
f4: l1 = 1.64; l2 = 2.07
f5: l1 = 1.87; l2 = 2.36
f6: l1 = 2.20; l2 = 2.71
f7: l1 = 1.81; l2 = 2.51
f8: l1 = 2.19; l2 = 2.76
f9: l1 = 2.17; l2 = 2.99
f10: l1 = 1.88; l2 = 2.38
f11: l1 = 2.23; l2 = 3.04
f12: l1 = 2.50; l2 = 3.39
f13: l1 = 2.32; l2 = 3.14
f14: l1 = 1.96; l2 = 2.42

2005
f1: l1 = 2.00; l2 = 2.58
f2: l1 = 2.53; l2 = 3.29
f3: l1 = 2.00; l2 = 2.42
f4: l1 = 1.89; l2 = 2.33
f5: l1 = 2.10; l2 = 2.78
f6: l1 = 1.98; l2 = 2.69
f7: l1 = 1.58; l2 = 2.17
f8: l1 = 3.40; l2 = 4.51
f9: l1 = 3.05; l2 = 4.04
f10: l1 = 3.25; l2 = 4.30
f11: l1 = 3.23; l2 = 4.51
f12: l1 = 3.18; l2 = 4.89
f13: l1 = 3.74; l2 = 5.33
f14: l1 = 2.76; l2 = 3.35

2006
f1: l1 = 2.27; l2 = 3.21
f2: l1 = 2.05; l2 = 3.13
f3: l1 = 2.01; l2 = 2.55
f4: l1 = 2.02; l2 = 2.76
f5: l1 = 2.18; l2 = 2.89
f6: l1 = 2.57; l2 = 3.34
f7: l1 = 1.97; l2 = 2.56
f8: l1 = 2.57; l2 = 3.60
f9: l1 = 2.66; l2 = 3.61
f10: l1 = 2.21; l2 = 3.06
f11: l1 = 2.22; l2 = 3.06
f12: l1 = 2.10; l2 = 2.94
f13: l1 = 2.25; l2 = 3.04
f14: l1 = 3.06; l2 = 4.06

2007
f1: l1 = 2.81; l2 = 3.71
f2: l1 = 2.92; l2 = 3.98
f3: l1 = 2.22; l2 = 2.77
f4: l1 = 2.43; l2 = 2.86
f5: l1 = 2.88; l2 = 3.60
f6: l1 = 2.55; l2 = 3.24
f7: l1 = 2.44; l2 = 3.36
f8: l1 = 2.58; l2 = 3.02
f9: l1 = 2.38; l2 = 2.93
f10: l1 = 2.38; l2 = 2.96
f11: l1 = 3.30; l2 = 4.75
f12: l1 = 2.96; l2 = 4.26
f13: l1 = 3.38; l2 = 4.80
f14: l1 = 2.49; l2 = 2.90

2008
f1: l1 = 2.08; l2 = 2.67
f2: l1 = 2.24; l2 = 2.99
f3: l1 = 1.91; l2 = 2.75
f4: l1 = 1.74; l2 = 2.56
f5: l1 = 2.20; l2 = 3.08
